layer_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,16,0.55,0.537832,0.426772,0.462168,0.426772,0.457899,0.455816,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2451,1055,4512,2061,2304,72
0,16,0.6,0.537832,0.426772,0.462168,0.426772,0.457899,0.455816,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2451,1055,4512,2061,2304,72
0,16,0.65,0.538046,0.426783,0.461954,0.426783,0.458333,0.455662,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2452,1056,4512,2060,2304,72
0,16,0.7,0.538298,0.426481,0.461702,0.426481,0.458767,0.45527,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2453,1057,4512,2059,2304,72
0,16,0.75,0.53903,0.426223,0.46097,0.426223,0.459201,0.455235,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2456,1058,4512,2056,2304,72
0,16,0.8,0.539926,0.425886,0.460074,0.425886,0.460503,0.454708,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2460,1061,4512,2052,2304,72
0,16,0.85,0.540355,0.425749,0.459645,0.425749,0.460938,0.454731,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2462,1062,4512,2050,2304,72
0,16,0.9,0.540988,0.425356,0.459012,0.425356,0.461806,0.454148,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2465,1064,4512,2047,2304,72
0,16,0.95,0.541817,0.425122,0.458183,0.425122,0.46224,0.45402,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2469,1065,4512,2043,2304,72
0,32,0.05,0.602809,0.390828,0.397191,0.390828,0.479167,0.425397,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2739,1104,4512,1773,2304,72
0,32,0.1,0.603913,0.391114,0.396087,0.391114,0.480903,0.425223,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2744,1108,4512,1768,2304,72
0,32,0.15,0.604544,0.391117,0.395456,0.391117,0.481337,0.425003,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2747,1109,4512,1765,2304,72
0,32,0.2,0.604758,0.390824,0.395242,0.390824,0.481337,0.425003,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2748,1109,4512,1764,2304,72
0,32,0.25,0.60581,0.390769,0.39419,0.390769,0.482639,0.425489,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2753,1112,4512,1759,2304,72
