layer_idx,head_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,0,32,0.55,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
0,0,32,0.6,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
0,0,32,0.65,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
0,0,32,0.7,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
0,0,32,0.75,0.766034,0.262919,0.233966,0.262919,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,297,122,376,79,192,6
0,0,32,0.8,0.769064,0.260663,0.230936,0.260663,0.635417,0.395559,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,298,122,376,78,192,6
0,0,32,0.85,0.772095,0.258566,0.227905,0.258566,0.640625,0.391041,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,299,123,376,77,192,6
0,0,32,0.9,0.775125,0.256631,0.224875,0.256631,0.645833,0.386822,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,300,124,376,76,192,6
0,0,32,0.95,0.778155,0.254861,0.221845,0.254861,0.651042,0.38291,0.770833,0.133398,0.875,0.051031,0.921875,0.023868,0.981051,0.011598,301,125,376,75,192,6
0,0,64,0.05,0.820748,0.132534,0.179252,0.132534,0.630208,0.301589,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,305,121,376,71,192,6
0,0,64,0.1,0.828745,0.131406,0.171255,0.131406,0.645833,0.300101,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,308,124,376,68,192,6
0,0,64,0.15,0.831093,0.128756,0.168907,0.128756,0.651042,0.293936,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,309,125,376,67,192,6
0,0,64,0.2,0.831093,0.128756,0.168907,0.128756,0.651042,0.293936,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,309,125,376,67,192,6
0,0,64,0.25,0.834179,0.127658,0.165821,0.127658,0.65625,0.293706,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,310,126,376,66,192,6
0,0,64,0.3,0.839493,0.127368,0.160507,0.127368,0.666667,0.290735,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,312,128,376,64,192,6
0,0,64,0.35,0.844714,0.126897,0.155286,0.126897,0.677083,0.288487,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,314,130,376,62,192,6
0,0,64,0.4,0.844714,0.126897,0.155286,0.126897,0.677083,0.288487,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,314,130,376,62,192,6
0,0,64,0.45,0.847744,0.129883,0.152256,0.129883,0.682292,0.293382,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,315,131,376,61,192,6
0,0,64,0.5,0.854939,0.127058,0.145061,0.127058,0.697917,0.285082,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,318,134,376,58,192,6
0,0,64,0.55,0.854939,0.127058,0.145061,0.127058,0.697917,0.285082,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,318,134,376,58,192,6
0,0,64,0.6,0.857286,0.124618,0.142714,0.124618,0.703125,0.279363,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,319,135,376,57,192,6
0,0,64,0.65,0.857286,0.124618,0.142714,0.124618,0.703125,0.279363,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,319,135,376,57,192,6
0,0,64,0.7,0.857286,0.124618,0.142714,0.124618,0.703125,0.279363,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,319,135,376,57,192,6
0,0,64,0.75,0.859569,0.121527,0.140431,0.121527,0.708333,0.271633,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,320,136,376,56,192,6
0,0,64,0.8,0.861852,0.118575,0.138148,0.118575,0.713542,0.264191,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,321,137,376,55,192,6
0,0,64,0.85,0.864883,0.121791,0.135117,0.121791,0.71875,0.269427,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,322,138,376,54,192,6
0,0,64,0.9,0.870252,0.117357,0.129748,0.117357,0.729167,0.261249,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,324,140,376,52,192,6
0,0,64,0.95,0.873126,0.119425,0.126874,0.119425,0.734375,0.265012,0.8125,0.119678,0.864583,0.066699,0.932292,0.021475,0.988922,0.005639,325,141,376,51,192,6
0,1,8,0.05,0.757886,0.261946,0.242114,0.261946,0.65625,0.356761,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,282,126,376,94,192,6
0,1,8,0.1,0.757886,0.261946,0.242114,0.261946,0.65625,0.356761,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,282,126,376,94,192,6
0,1,8,0.15,0.757886,0.261946,0.242114,0.261946,0.65625,0.356761,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,282,126,376,94,192,6
0,1,8,0.2,0.757886,0.261946,0.242114,0.261946,0.65625,0.356761,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,282,126,376,94,192,6
0,1,8,0.25,0.757886,0.261946,0.242114,0.261946,0.65625,0.356761,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,282,126,376,94,192,6
0,1,8,0.3,0.760233,0.261518,0.239767,0.261518,0.661458,0.354664,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,283,127,376,93,192,6
