model_name,prompt_idx,prompt_type,prompt_length,layer_idx,head_idx,sketch_dim,theta,topk_overlap,rank_correlation,false_elimination_rate,elimination_rate,num_tokens
gpt2,0,short,10,0,9,32,0.1,0.875,0.9272727272727274,0.25,0.3,10
gpt2,0,short,10,0,10,32,0.1,0.875,0.9792207792207793,0.0,0.0,10
gpt2,0,short,10,0,11,32,0.1,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,32,0.3,0.875,0.8831168831168833,1.0,1.0,10
gpt2,0,short,10,0,1,32,0.3,0.875,0.9454545454545455,0.25,0.4,10
gpt2,0,short,10,0,2,32,0.3,0.875,0.9402597402597404,0.0,0.1,10
gpt2,0,short,10,0,3,32,0.3,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,4,32,0.3,1.0,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,5,32,0.3,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,6,32,0.3,0.75,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,7,32,0.3,1.0,0.9844155844155845,0.125,0.3,10
gpt2,0,short,10,0,8,32,0.3,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,9,32,0.3,0.875,0.9272727272727274,0.25,0.4,10
gpt2,0,short,10,0,10,32,0.3,0.875,0.9792207792207793,0.0,0.0,10
gpt2,0,short,10,0,11,32,0.3,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,32,0.5,0.875,0.8831168831168833,1.0,1.0,10
gpt2,0,short,10,0,1,32,0.5,0.875,0.9454545454545455,0.25,0.4,10
gpt2,0,short,10,0,2,32,0.5,0.875,0.9402597402597404,0.0,0.1,10
gpt2,0,short,10,0,3,32,0.5,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,4,32,0.5,1.0,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,5,32,0.5,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,6,32,0.5,0.75,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,7,32,0.5,1.0,0.9844155844155845,0.125,0.3,10
gpt2,0,short,10,0,8,32,0.5,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,9,32,0.5,0.875,0.9272727272727274,0.25,0.4,10
gpt2,0,short,10,0,10,32,0.5,0.875,0.9792207792207793,0.0,0.0,10
gpt2,0,short,10,0,11,32,0.5,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,32,0.7,0.875,0.8831168831168833,1.0,1.0,10
gpt2,0,short,10,0,1,32,0.7,0.875,0.9454545454545455,0.25,0.4,10
gpt2,0,short,10,0,2,32,0.7,0.875,0.9402597402597404,0.0,0.1,10
gpt2,0,short,10,0,3,32,0.7,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,4,32,0.7,1.0,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,5,32,0.7,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,6,32,0.7,0.75,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,7,32,0.7,1.0,0.9844155844155845,0.125,0.3,10
